"train_filename","processing_status","white_border_cropped","crop_left","crop_top","crop_right","crop_bottom","resized","original_size","processed_size","caption_generated","metadata_matched","needs_manual_review","warning","exif_orientation"
"T0001.jpg","success","no","0","0","0","0","no","960x466","960x466","yes","yes","no","","1"
"T0002.jpg","success","no","0","0","0","0","no","1981x962","1981x962","yes","yes","no","","1"
"T0003.jpg","success","no","0","0","0","0","no","960x462","960x462","yes","yes","no","","1"
"T0004.jpg","success","no","0","0","0","0","no","1981x954","1981x954","yes","yes","no","","1"
"T0005.jpg","success","no","0","0","0","0","no","2000x1425","2000x1425","yes","yes","no","","1"
"T0006.jpg","success","no","0","0","0","0","no","2000x1486","2000x1486","yes","yes","no","","1"
"T0007.jpg","success","no","0","0","0","0","no","3002x4000","3002x4000","yes","yes","yes","partial view: only part of the four-panel screen is visible","1"
"T0008.jpg","success","no","0","0","0","0","no","3002x4000","3002x4000","yes","yes","yes","partial view: only part of the four-panel screen is visible","1"
"T0009.jpg","success","no","0","0","0","0","no","3002x4000","3002x4000","yes","yes","yes","partial view: only part of the four-panel screen is visible","1"
"T0010.jpg","success","no","0","0","0","0","no","3002x4000","3002x4000","yes","yes","yes","partial view: only part of the four-panel screen is visible","1"
"T0011.jpg","success","no","0","0","0","0","no","4000x2114","4000x2114","yes","yes","no","","1"
"T0012.jpg","success","no","0","0","0","0","no","925x739","925x739","yes","yes","no","","1"
"T0013.jpg","success","no","0","0","0","0","no","925x725","925x725","yes","yes","no","","1"
"T0014.jpg","success","no","0","0","0","0","no","4000x3000","4000x3000","yes","yes","no","","1"
"T0015.jpg","success","no","0","0","0","0","no","960x521","960x521","yes","yes","no","","1"
"T0016.jpg","success","no","0","0","0","0","no","960x720","960x720","yes","yes","no","","1"
"T0017.jpg","success","no","0","0","0","0","no","4000x3001","4000x3001","yes","yes","no","","1"
"T0018.jpg","success","yes","16","0","27","0","no","960x2744","917x2744","yes","yes","yes","detail view: a single section rather than the complete screen","1"
"T0019.jpg","success","no","0","0","0","0","no","960x384","960x384","yes","yes","no","","1"
"T0020.jpg","success","no","0","0","0","0","no","4000x3001","4000x3001","yes","yes","no","","1"
"T0021.jpg","success","no","0","0","0","0","no","960x1280","960x1280","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0022.jpg","success","no","0","0","0","0","no","960x1280","960x1280","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0023.jpg","success","no","0","0","0","0","no","960x1280","960x1280","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0024.jpg","success","no","0","0","0","0","no","960x720","960x720","yes","yes","yes","partial view: the full multi-panel structure is not visible","1"
"T0025.jpg","success","yes","12","29","14","17","no","850x366","824x320","yes","yes","no","","1"
"T0026.jpg","success","yes","0","0","14","9","no","850x353","836x344","yes","yes","no","","1"
"T0027.jpg","success","no","0","0","0","0","no","960x1637","960x1637","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0028.jpg","success","no","0","0","0","0","no","960x517","960x517","yes","yes","no","","1"
"T0029.jpg","success","no","0","0","0","0","no","960x1701","960x1701","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0030.jpg","success","no","0","0","0","0","no","960x1857","960x1857","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0031.jpg","success","no","0","0","0","0","no","960x1059","960x1059","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0032.jpg","success","no","0","0","0","0","no","960x852","960x852","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0033.jpg","success","no","0","0","0","0","no","960x1138","960x1138","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0034.jpg","success","no","0","0","0","0","no","960x1717","960x1717","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0035.jpg","success","no","0","0","0","0","no","960x1515","960x1515","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0036.jpg","success","no","0","0","0","0","no","960x1646","960x1646","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0037.jpg","success","no","0","0","0","0","no","960x2186","960x2186","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0038.jpg","success","no","0","0","0","0","no","960x1598","960x1598","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0039.jpg","success","no","0","0","0","0","no","960x2028","960x2028","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0040.jpg","success","no","0","0","0","0","no","960x2289","960x2289","yes","yes","yes","single-panel/detail image rather than the complete screen","1"
"T0041.jpg","success","no","0","0","0","0","no","960x565","960x565","yes","yes","no","","1"
"T0042.jpg","success","no","0","0","0","0","no","2497x4000","2497x4000","yes","yes","yes","class review: metadata describes Chinese scrolls mounted on a Japanese bi-fold screen","1"
"T0043.jpg","success","no","0","0","0","0","no","2694x4000","2694x4000","yes","yes","yes","class review: metadata describes Chinese scrolls mounted on a Japanese bi-fold screen","1"
"T0044.jpg","success","no","0","0","0","0","no","3963x4000","3963x4000","yes","yes","yes","class review: metadata describes Chinese scrolls mounted on a Japanese bi-fold screen","1"
"T0045.jpg","success","no","0","0","0","0","no","960x1280","960x1280","yes","yes","yes","class review: image appears to show a single fixed standing screen, not a folding screen","1"
"T0046.jpg","success","no","0","0","0","0","no","507x259","507x259","yes","yes","yes","low resolution: 507 x 259 pixels","1"
"T0047.jpg","success","no","0","0","0","0","no","509x261","509x261","yes","yes","yes","low resolution: 509 x 261 pixels","1"
"T0048.jpg","success","no","0","0","0","0","no","960x1357","960x1357","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0049.jpg","success","no","0","0","0","0","no","960x1440","960x1440","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0050.jpg","success","no","0","0","0","0","no","960x687","960x687","yes","yes","no","","1"
"T0051.jpg","success","no","0","0","0","0","no","960x1412","960x1412","yes","yes","yes","partial view: only part of the screen is visible","1"
"T0052.jpg","success","no","0","0","0","0","no","960x970","960x970","yes","yes","no","","1"
"T0053.jpg","success","no","0","0","0","0","no","960x424","960x424","yes","yes","yes","annotation overlay: numbered markers are embedded in the image","1"
"T0054.jpg","success","no","0","0","0","0","no","960x810","960x810","yes","yes","yes","detail view: only part of the screen is visible","1"
"T0055.jpg","success","no","0","0","0","0","no","960x643","960x643","yes","yes","no","","1"
"T0056.jpg","success","no","0","0","0","0","no","960x630","960x630","yes","yes","no","","1"
"T0057.jpg","success","no","0","0","0","0","no","960x745","960x745","yes","yes","no","","1"
"T0058.jpg","success","no","0","0","0","0","no","960x632","960x632","yes","yes","no","","1"
"T0059.jpg","success","no","0","0","0","0","no","960x837","960x837","yes","yes","no","","1"
"T0060.jpg","success","no","0","0","0","0","no","960x640","960x640","yes","yes","no","","1"
"T0061.jpg","success","no","0","0","0","0","no","960x709","960x709","yes","yes","no","","1"
"T0062.jpg","success","no","0","0","0","0","no","960x1168","960x1168","yes","yes","no","","1"
"T0063.jpg","success","no","0","0","0","0","no","1200x439","1200x439","yes","yes","no","","1"
"T0064.jpg","success","yes","0","47","11","0","yes","1200x4585","1073x4096","yes","yes","yes","single-panel image rather than the complete twelve-panel screen","1"
"T0065.jpg","success","yes","12","49","0","0","yes","1200x4726","1040x4096","yes","yes","yes","single-panel image rather than the complete twelve-panel screen","1"
"T0066.jpg","success","no","0","0","0","0","no","1200x439","1200x439","yes","yes","no","","1"
"T0067.jpg","success","no","0","0","0","0","no","1200x907","1200x907","yes","yes","no","","1"
"T0068.jpg","success","no","0","0","0","0","no","1433x684","1433x684","yes","no","no","","1"
"T0069.jpg","success","no","0","0","0","0","no","1534x1005","1534x1005","yes","no","no","","1"
"T0070.jpg","success","no","0","0","0","0","no","1140x954","1140x954","yes","no","no","","1"
"T0071.jpg","success","no","0","0","0","0","no","1250x845","1250x845","yes","no","no","","1"
"T0072.jpg","success","no","0","0","0","0","no","1480x858","1480x858","yes","no","no","","1"
"T0073.jpg","success","no","0","0","0","0","no","1479x718","1479x718","yes","no","no","","1"
"T0074.jpg","success","no","0","0","0","0","no","1701x870","1701x870","yes","no","no","","1"
"T0075.jpg","success","no","0","0","0","0","no","1565x944","1565x944","yes","no","yes","class review: filename explicitly identifies a nine-panel standing screen (座屏), not a folding screen","1"
"T0076.jpg","success","no","0","0","0","0","no","1664x598","1664x598","yes","no","no","","1"
